,rank,bib,name,country,sex,division,divisionType,finDivPos,finSexPos,finOvrPos,isDNF,swimLegTime,swimNetTime,t1LegTime,t1NetTime,bikeLegTime,bikeNetTime,t2LegTime,t2NetTime,finishLegTime,finishNetTime
0,1.0,9,Tyler Mislawchuk,CAN,M,MPRO,PRO,1.0,1.0,1.0,False,00:23:36.128,00:23:36.128,00:02:35.091,00:26:11.219,02:09:07.531,02:35:18.75,00:01:27.031,02:36:45.781,01:10:53.569,03:47:39.35
1,2.0,2,Jason West,USA,M,MPRO,PRO,2.0,2.0,2.0,False,00:23:35.137,00:23:35.137,00:02:36.488,00:26:11.625,02:09:06.519,02:35:18.144,00:01:16.614,02:36:34.758,01:12:32.291,03:49:07.049
2,3.0,3,Manoel Messias Dos Santos Junior,BRA,M,MPRO,PRO,3.0,3.0,3.0,False,00:25:16.647,00:25:16.647,00:02:35.005,00:27:51.652,02:07:20.676,02:35:12.328,00:01:27.602,02:36:39.93,01:13:35.119,03:50:15.049
3,4.0,4,Diego Moya,CHI,M,MPRO,PRO,4.0,4.0,4.0,False,00:23:30.043,00:23:30.043,00:02:33.219,00:26:03.262,02:09:06.179,02:35:09.441,00:01:18.461,02:36:27.902,01:16:40.276,03:53:08.178
4,5.0,5,Matthew Sharpe,CAN,M,MPRO,PRO,5.0,5.0,5.0,False,00:23:31.967,00:23:31.967,00:02:38.092,00:26:10.059,02:09:07.171,02:35:17.23,00:01:37.622,02:36:54.852,01:16:21.963,03:53:16.815
5,6.0,10,Mateo Mendoza,CHI,M,MPRO,PRO,6.0,6.0,6.0,False,00:23:31.231,00:23:31.231,00:02:39.363,00:26:10.594,02:09:06.941,02:35:17.535,00:01:20.469,02:36:38.004,01:16:50.432,03:53:28.436
6,7.0,7,Martín Baeza,CHI,M,MPRO,PRO,7.0,7.0,7.0,False,00:24:03.066,00:24:03.066,00:02:27.067,00:26:30.133,02:08:39.297,02:35:09.43,00:01:25.336,02:36:34.766,01:19:53.732,03:56:28.498
7,8.0,1622,Team Og Team Arg/Chi,ARG,M,MRelay,RELAY,1.0,1.0,1.0,False,00:23:36.953,00:23:36.953,00:03:07.585,00:26:44.538,02:09:42.45,02:36:26.988,00:01:46.976,02:38:13.964,01:18:44.315,03:56:58.279
8,9.0,6,Vicente Trewhela,CHI,M,MPRO,PRO,8.0,8.0,8.0,False,00:23:29.928,00:23:29.928,00:02:34.392,00:26:04.32,02:09:06.418,02:35:10.738,00:01:39.563,02:36:50.301,01:20:15.373,03:57:05.674
9,10.0,12,Fernando Jacome,CHI,M,MPRO,PRO,9.0,9.0,9.0,False,00:24:04.592,00:24:04.592,00:02:43.552,00:26:48.144,02:14:11.407,02:40:59.551,00:01:24.781,02:42:24.332,01:16:14.936,03:58:39.268
10,11.0,13,Cristobal Baeza Muñoz,CHI,M,MPRO,PRO,10.0,10.0,10.0,False,00:23:34.072,00:23:34.072,00:02:35.405,00:26:09.477,02:09:06.156,02:35:15.633,00:01:31.746,02:36:47.379,01:23:25.803,04:00:13.182
11,12.0,14,Benjamin Adriazola,CHI,M,MPRO,PRO,11.0,11.0,11.0,False,00:24:50.50,00:24:50.50,00:02:46.473,00:27:36.973,02:13:12.359,02:40:49.332,00:01:48.211,02:42:37.543,01:19:02.862,04:01:40.405
12,13.0,18,Ivan Anzaldo,ARG,M,MPRO,PRO,12.0,12.0,12.0,False,00:25:15.089,00:25:15.089,00:02:43.43,00:27:58.519,02:12:58.43,02:40:56.949,00:01:45.895,02:42:42.844,01:20:01.67,04:02:44.514
13,14.0,15,Roberto Rivera,CHI,M,MPRO,PRO,13.0,13.0,13.0,False,00:25:22.353,00:25:22.353,00:02:46.057,00:28:08.41,02:12:44.051,02:40:52.461,00:01:49.50,02:42:41.961,01:22:31.065,04:05:13.026
14,15.0,11,Thomas Inigo,USA,M,MPRO,PRO,14.0,14.0,14.0,False,00:27:18.83,00:27:18.83,00:03:43.373,00:31:02.203,02:12:44.297,02:43:46.50,00:01:37.246,02:45:23.746,01:20:21.479,04:05:45.225
15,16.0,16,Angel Ruiz,CHI,M,MPRO,PRO,15.0,15.0,15.0,False,00:25:18.568,00:25:18.568,00:02:49.01,00:28:07.578,02:12:55.75,02:41:03.328,00:01:53.699,02:42:57.027,01:23:43.964,04:06:40.991
16,17.0,8,Nicolas Saez Ahues,CHI,M,MPRO,PRO,16.0,16.0,16.0,False,00:26:04.805,00:26:04.805,00:03:00.453,00:29:05.258,02:11:45.633,02:40:50.891,00:01:43.914,02:42:34.805,01:25:21.045,04:07:55.85
17,18.0,17,Arturo Guzman,COL,M,MPRO,PRO,17.0,17.0,17.0,False,00:26:02.386,00:26:02.386,00:02:48.411,00:28:50.797,02:12:03.668,02:40:54.465,00:01:46.586,02:42:41.051,01:26:09.725,04:08:50.776
18,19.0,653,Mateo Bustos Pecaut,ARG,M,M25-29,AG,1.0,1.0,1.0,False,00:27:56.637,00:27:56.637,00:03:03.30,00:30:59.937,02:14:59.812,02:45:59.749,00:02:19.77,02:48:19.519,01:21:11.783,04:09:31.302
19,20.0,720,Francisco Catalan,CHI,M,M25-29,AG,2.0,2.0,2.0,False,00:27:19.20,00:27:19.20,00:03:04.795,00:30:23.995,02:16:29.489,02:46:53.484,00:02:40.91,02:49:34.394,01:20:51.822,04:10:26.216
20,21.0,1172,Pablo Manuel Bien,ARG,M,M30-34,AG,1.0,3.0,3.0,False,00:29:05.486,00:29:05.486,00:03:34.939,00:32:40.425,02:15:46.07,02:48:26.495,00:02:19.614,02:50:46.109,01:21:29.572,04:12:15.681
21,22.0,718,Alberto Danioni,CHI,M,M35-39,AG,1.0,4.0,4.0,False,00:27:06.58,00:27:06.58,00:03:09.368,00:30:15.948,02:16:09.289,02:46:25.237,00:02:35.957,02:49:01.194,01:23:21.444,04:12:22.638
22,23.0,111,Javier Zamorano Sheward,CHI,M,M30-34,AG,2.0,5.0,5.0,False,00:28:23.832,00:28:23.832,00:03:02.085,00:31:25.917,02:19:50.289,02:51:16.206,00:02:35.824,02:53:52.03,01:19:51.819,04:13:43.849
23,24.0,654,Guillermo Garcia,ARG,M,M35-39,AG,2.0,6.0,6.0,False,00:28:58.271,00:28:58.271,00:03:19.20,00:32:17.471,02:21:01.11,02:53:18.581,00:02:31.476,02:55:50.057,01:18:27.964,04:14:18.021
24,25.0,1607,Team Real G Uc,CHI,M,MRelay,RELAY,2.0,2.0,2.0,False,00:23:43.40,00:23:43.40,00:05:37.56,00:29:20.96,02:12:15.668,02:41:36.628,00:01:48.046,02:43:24.674,01:31:01.448,04:14:26.122
25,26.0,1073,José Pablo Salazar Ezquerra,CHI,M,M30-34,AG,3.0,7.0,7.0,False,00:26:57.648,00:26:57.648,00:03:13.222,00:30:10.87,02:21:16.324,02:51:27.194,00:02:20.039,02:53:47.233,01:21:23.104,04:15:10.337
26,27.0,19,Raul Arratia,CHI,M,MPRO,PRO,18.0,18.0,18.0,False,00:26:42.906,00:26:42.906,00:02:40.789,00:29:23.695,02:21:27.653,02:50:51.348,00:01:40.234,02:52:31.582,01:24:11.28,04:16:42.862
27,28.0,719,Benjamin Moya,CHI,M,M25-29,AG,3.0,8.0,8.0,False,00:27:11.892,00:27:11.892,00:03:12.85,00:30:24.742,02:21:30.41,02:51:55.152,00:02:30.586,02:54:25.738,01:23:30.947,04:17:56.685
28,29.0,1304,José Tomás Torres Trautmann,CHI,M,M25-29,AG,4.0,9.0,9.0,False,00:28:25.943,00:28:25.943,00:03:24.728,00:31:50.671,02:19:35.559,02:51:26.23,00:02:52.781,02:54:19.011,01:25:07.862,04:19:26.873
29,30.0,518,Tomas Omaechevarria,ARG,M,M30-34,AG,4.0,10.0,10.0,False,00:28:22.517,00:28:22.517,00:04:11.209,00:32:33.726,02:22:33.519,02:55:07.245,00:02:32.903,02:57:40.148,01:22:27.061,04:20:07.209
30,31.0,1645,Team Tym,CHI,M,MRelay,RELAY,3.0,3.0,3.0,False,00:29:37.942,00:29:37.942,00:03:30.471,00:33:08.413,02:09:52.59,02:43:01.003,00:02:39.308,02:45:40.311,01:35:01.682,04:20:41.993
31,32.0,1,Felipe Van de Wyngard,CHI,M,MPRO,PRO,19.0,19.0,19.0,False,00:25:13.195,00:25:13.195,00:02:45.051,00:27:58.246,02:13:00.758,02:40:59.004,00:02:35.383,02:43:34.387,01:37:45.354,04:21:19.741
32,33.0,736,Francisco Gonzalez Urrutia,CHI,M,M45-49,AG,1.0,11.0,11.0,False,00:28:23.316,00:28:23.316,00:03:12.39,00:31:35.706,02:20:30.813,02:52:06.519,00:07:30.848,02:59:37.367,01:21:53.572,04:21:30.939
33,34.0,1322,Juan Araya,CHI,M,M25-29,AG,5.0,12.0,12.0,False,00:26:11.398,00:26:11.398,00:03:02.359,00:29:13.757,02:19:31.012,02:48:44.769,00:07:10.089,02:55:54.858,01:29:03.046,04:24:57.904
