,rank,bib,name,country,sex,division,divisionType,finDivPos,finSexPos,finOvrPos,isDNF,swimLegTime,swimNetTime,t1LegTime,t1NetTime,bikeLegTime,bikeNetTime,t2LegTime,t2NetTime,finishLegTime,finishNetTime
0,1.0,348,Evgeny Tikhonin,KGZ,M,M25-29,AG,1.0,1.0,1.0,False,00:28:16.686,00:28:16.686,00:02:39.734,00:30:56.42,02:03:06.775,02:34:03.195,00:02:14.961,02:36:18.156,01:22:23.467,03:58:41.623
1,2.0,374,William Davey,GBR,M,M30-34,AG,1.0,2.0,2.0,False,00:26:19.856,00:26:19.856,00:02:25.984,00:28:45.84,02:11:10.403,02:39:56.243,00:02:14.10,02:42:10.343,01:17:12.779,03:59:23.122
2,3.0,18,Ryan Christian,AUS,M,M35-39,AG,1.0,3.0,3.0,False,00:25:40.273,00:25:40.273,00:02:21.244,00:28:01.517,02:07:55.719,02:35:57.236,00:01:58.135,02:37:55.371,01:22:06.63,04:00:02.001
3,4.0,10,Quentin Amaral,FRA,M,M25-29,AG,2.0,4.0,4.0,False,00:27:28.387,00:27:28.387,00:02:01.278,00:29:29.665,02:10:39.39,02:40:09.055,00:02:38.278,02:42:47.333,01:17:35.029,04:00:22.362
4,5.0,419,Bryan Van Rutten,NED,M,M30-34,AG,2.0,5.0,5.0,False,00:26:31.489,00:26:31.489,00:02:39.114,00:29:10.603,02:06:44.77,02:35:55.373,00:02:04.387,02:37:59.76,01:23:02.748,04:01:02.508
5,6.0,26,Emmanuel Iodice,USA,M,M40-44,AG,1.0,6.0,6.0,False,00:27:35.881,00:27:35.881,00:02:01.73,00:29:37.611,02:10:47.659,02:40:25.27,00:02:18.761,02:42:44.031,01:19:10.313,04:01:54.344
6,7.0,112,Rayan Alkhuwaiter,KSA,M,M35-39,AG,2.0,7.0,7.0,False,00:29:06.213,00:29:06.213,00:02:44.854,00:31:51.067,02:07:37.682,02:39:28.749,00:02:01.933,02:41:30.682,01:23:29.207,04:04:59.889
7,8.0,315,Hamad Alkhaldi,KUW,M,M25-29,AG,3.0,8.0,8.0,False,00:27:25.115,00:27:25.115,00:02:53.079,00:30:18.194,02:17:14.066,02:47:32.26,00:02:45.461,02:50:17.721,01:16:52.242,04:07:09.963
8,9.0,14,Oliver Lockyer,GBR,M,M30-34,AG,3.0,9.0,9.0,False,00:29:23.36,00:29:23.36,00:03:23.625,00:32:46.985,02:12:59.183,02:45:46.168,00:01:55.415,02:47:41.583,01:21:19.623,04:09:01.206
9,10.0,24,Gerhard de Bruin,RSA,M,M40-44,AG,2.0,10.0,10.0,False,00:27:32.496,00:27:32.496,00:02:11.835,00:29:44.331,02:10:48.168,02:40:32.499,00:02:33.743,02:43:06.242,01:26:11.343,04:09:17.585
10,11.0,38,Paul Lunn,GBR,M,M50-54,AG,1.0,11.0,11.0,False,00:30:24.123,00:30:24.123,00:02:22.244,00:32:46.367,02:13:48.504,02:46:34.871,00:02:33.653,02:49:08.524,01:22:47.362,04:11:55.886
11,12.0,131,David Hynes,OMA,M,M40-44,AG,3.0,12.0,12.0,False,00:26:13.473,00:26:13.473,00:02:12.27,00:28:25.743,02:07:23.535,02:35:49.278,00:02:21.45,02:38:10.728,01:36:09.511,04:14:20.239
12,13.0,334,Robbie Kerremans,NED,M,M25-29,AG,4.0,13.0,13.0,False,00:29:15.733,00:29:15.733,00:02:44.626,00:32:00.359,02:18:18.248,02:50:18.607,00:02:45.71,02:53:04.317,01:21:49.899,04:14:54.216
13,14.0,19,Ross Harper,GBR,M,M35-39,AG,3.0,14.0,14.0,False,00:28:50.448,00:28:50.448,00:02:02.889,00:30:53.337,02:16:23.755,02:47:17.092,00:02:00.306,02:49:17.398,01:27:09.315,04:16:26.713
14,15.0,73,Xavier Pottier,FRA,M,M35-39,AG,4.0,15.0,15.0,False,00:32:15.419,00:32:15.419,00:02:07.814,00:34:23.233,02:19:54.102,02:54:17.335,00:01:44.286,02:56:01.621,01:20:50.604,04:16:52.225
