,rank,bib,name,country,sex,division,divisionType,finDivPos,finSexPos,finOvrPos,isDNF,swimLegTime,swimNetTime,t1LegTime,t1NetTime,bikeLegTime,bikeNetTime,t2LegTime,t2NetTime,finishLegTime,finishNetTime
0,1.0,2001,Bailey Tuddenham,Australia,M,M18-24,AG,1.0,1.0,1.0,False,00:25:23.85,00:25:23.85,00:03:18.483,00:28:42.333,02:07:09.944,02:35:52.277,00:01:49.106,02:37:41.383,01:23:23.444,04:01:04.827
1,2.0,2893,Thomas Williams,New Zealand,M,M25-29,AG,1.0,2.0,2.0,False,00:27:02.553,00:27:02.553,00:03:22.80,00:30:25.353,02:09:02.97,02:39:28.323,00:01:34.37,02:41:02.693,01:21:48.353,04:02:51.046
2,3.0,2013,Richard Chambers,New Zealand,M,M40-44,AG,1.0,3.0,3.0,False,00:25:34.617,00:25:34.617,00:03:02.706,00:28:37.323,02:11:48.774,02:40:26.097,00:01:42.78,02:42:08.877,01:21:29.813,04:03:38.69
3,4.0,2405,Andrej Fuscic,New Zealand,M,M18-24,AG,2.0,4.0,4.0,False,00:27:08.243,00:27:08.243,00:03:19.753,00:30:27.996,02:12:32.124,02:43:00.12,00:02:35.58,02:45:35.70,01:19:19.623,04:04:55.323
4,5.0,2862,Robert Huisman,New Zealand,M,M30-34,AG,1.0,5.0,5.0,False,00:24:14.934,00:24:14.934,00:03:13.186,00:27:28.12,02:12:03.31,02:39:31.43,00:02:19.04,02:41:50.47,01:23:54.40,04:05:44.87
5,6.0,2875,Sam Schofield,New Zealand,M,M18-24,AG,3.0,6.0,6.0,False,00:26:59.036,00:26:59.036,00:03:21.58,00:30:20.616,02:15:21.654,02:45:42.27,00:02:02.35,02:47:44.62,01:19:57.08,04:07:41.70
6,7.0,2876,Karl Poole,New Zealand,M,M35-39,AG,1.0,7.0,7.0,False,00:24:59.407,00:24:59.407,00:03:45.23,00:28:44.637,02:11:49.053,02:40:33.69,00:03:54.45,02:44:28.14,01:27:15.557,04:11:43.697
7,8.0,2011,Bastian Luthmann,Germany,M,M18-24,AG,4.0,8.0,8.0,False,00:33:05.983,00:33:05.983,00:03:19.297,00:36:25.28,02:15:43.43,02:52:08.71,00:01:37.216,02:53:45.926,01:21:43.024,04:15:28.95
8,9.0,2003,Tyler Jerram,New Zealand,M,M25-29,AG,2.0,9.0,9.0,False,00:28:29.644,00:28:29.644,00:03:11.093,00:31:40.737,02:12:47.657,02:44:28.394,00:02:33.666,02:47:02.06,01:29:00.26,04:16:02.32
9,10.0,2428,William Morton,New Zealand,M,M18-24,AG,5.0,10.0,10.0,False,00:26:54.343,00:26:54.343,00:03:07.157,00:30:01.50,02:17:56.32,02:47:57.82,00:02:32.336,02:50:30.156,01:26:51.534,04:17:21.69
10,11.0,2010,Ollie Brazier,New Zealand,M,M30-34,AG,2.0,11.0,11.0,False,00:29:49.293,00:29:49.293,00:03:04.117,00:32:53.41,02:25:17.287,02:58:10.697,00:02:15.71,03:00:26.407,01:18:14.83,04:18:41.237
11,12.0,2890,Dan Hayman,New Zealand,M,M18-24,AG,6.0,12.0,12.0,False,00:29:10.30,00:29:10.30,00:04:16.80,00:33:27.10,02:23:53.504,02:57:20.604,00:03:21.91,03:00:42.514,01:19:00.203,04:19:42.717
12,13.0,4008,Team Jam Donuts,New Zealand,MF,MFRelay,RELAY,1.0,1.0,1.0,False,00:28:12.986,00:28:12.986,00:03:12.557,00:31:25.543,02:25:01.763,02:56:27.306,00:01:40.057,02:58:07.363,01:22:19.74,04:20:27.103
13,14.0,4022,Team the Mercury Wannabees,New Zealand,M,MRelay,RELAY,1.0,1.0,2.0,False,00:26:54.457,00:26:54.457,00:02:22.683,00:29:17.14,02:20:38.84,02:49:55.98,00:01:34.924,02:51:30.904,01:28:56.26,04:20:27.164
14,15.0,2546,Ryo Kawaguchi,New Zealand,M,M30-34,AG,3.0,13.0,13.0,False,00:29:59.28,00:29:59.28,00:03:21.427,00:33:20.707,02:20:15.207,02:53:35.914,00:02:17.506,02:55:53.42,01:29:03.707,04:24:57.127
15,16.0,2552,Agostino Zurzolo,Australia,M,M30-34,AG,4.0,14.0,14.0,False,00:37:39.573,00:37:39.573,00:05:02.09,00:42:41.663,02:22:45.204,03:05:26.867,00:02:41.076,03:08:07.943,01:19:43.164,04:27:51.107
16,17.0,2741,Steven Miller,New Zealand,M,M50-54,AG,1.0,15.0,15.0,False,00:32:00.667,00:32:00.667,00:03:26.23,00:35:26.897,02:25:50.31,03:01:17.207,00:02:32.556,03:03:49.763,01:26:58.134,04:30:47.897
17,18.0,2880,Simon VAN Rij,New Zealand,M,M40-44,AG,2.0,16.0,16.0,False,00:36:28.876,00:36:28.876,00:04:33.417,00:41:02.293,02:23:51.393,03:04:53.686,00:02:24.887,03:07:18.573,01:23:41.32,04:30:59.893
18,19.0,4051,Team Sarah Knighton and the Back Up Dancers,New Zealand,MF,MFRelay,RELAY,2.0,2.0,3.0,False,00:33:45.53,00:33:45.53,00:03:48.794,00:37:34.324,02:16:40.86,02:54:15.184,00:01:35.95,02:55:51.134,01:35:10.946,04:31:02.08
19,20.0,2607,Aaron Kaijser,New Zealand,M,M35-39,AG,2.0,17.0,17.0,False,00:29:41.856,00:29:41.856,00:03:19.697,00:33:01.553,02:31:28.547,03:04:30.10,00:03:01.316,03:07:31.416,01:25:04.737,04:32:36.153
20,21.0,2882,Nathan Martin,New Zealand,M,M40-44,AG,3.0,18.0,18.0,False,00:37:11.81,00:37:11.81,00:03:25.39,00:40:37.20,02:25:00.233,03:05:37.433,00:02:14.913,03:07:52.346,01:25:50.544,04:33:42.89
21,22.0,2410,Joep Lenoir,New Zealand,M,M18-24,AG,7.0,19.0,19.0,False,00:28:30.88,00:28:30.88,00:03:58.876,00:32:29.756,02:32:59.737,03:05:29.493,00:03:00.837,03:08:30.33,01:25:51.023,04:34:21.353
22,23.0,2473,Oliver Sanderson,New Zealand,M,M25-29,AG,3.0,20.0,20.0,False,00:33:36.213,00:33:36.213,00:04:23.567,00:37:59.78,02:28:34.626,03:06:34.406,00:03:19.12,03:09:53.526,01:25:05.30,04:34:58.826
