,time,point,label,pid,bib,name,timeOfDay,epochTime,sex,isStart,country,country_iso,team,division,timestamp,milePace,milePaceAvg,mph,kmPace,kmPaceAvg,kmh,pace,paceAvg,legTime,splitTime,netTime,waveTime,isFinish,splitTimeSeconds,legTimeSeconds,netTimeSeconds,waveTimeSeconds,divisionType,legDivPos,legSexPos,legOvrPos,finDivPos,finSexPos,finOvrPos,pointNum,maxPointNum,maxPointNetTimeSeconds,rank,isDNF
0,00:00:00.00,START,Start,RBFNZT42,1035,James Van Ramoga,6:10:03 am,1740867002.512,M,1,PHI,ph,GO FOR GOLD,M20-24,1740895802.512,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,AG,,,,,,,1,11,4656.188,1.0,False
1,00:16:44.375,SWIM,Swim Finish,RBFNZT42,1035,James Van Ramoga,6:26:47 am,1740868006.887,M,,PHI,ph,GO FOR GOLD,M20-24,1740896806.887,35:56,35:56,1.67,22:20,22:20,2.69,02:14 min/100m,02:14 min/100m,00:16:44.375,00:16:44.375,00:16:44.375,00:16:46.344,,1004.375,1004.375,1004.375,1006.344,AG,2.0,7.0,8.0,,,,2,11,4656.188,1.0,False
2,00:19:01.436,T1,Bike Start,RBFNZT42,1035,James Van Ramoga,6:29:04 am,1740868143.948,M,,PHI,ph,GO FOR GOLD,M20-24,1740896943.948,35:56,35:56,1.67,22:20,22:20,2.69,22:20 min/km,22:20 min/km,00:02:17.061,00:02:17.061,00:19:01.436,00:19:03.405,,137.061,137.061,1141.436,1143.405,AG,1.0,3.0,3.0,,,,3,11,4656.188,1.0,False
3,00:36:45.488,BIKE2,Bike 11 km,RBFNZT42,1035,James Van Ramoga,6:46:48 am,1740869208.00,M,,PHI,ph,GO FOR GOLD,M20-24,1740898008.00,02:35,02:35,23.27,01:37,01:37,37.45,37.45 km/hr,37.45 km/hr,00:17:44.052,00:17:44.052,00:36:45.488,00:36:47.457,,1064.052,1064.052,2205.488,2207.457,AG,,,,,,,5,11,4656.188,1.0,False
4,00:52:19.471,BIKE,Bike Finish,RBFNZT42,1035,James Van Ramoga,7:02:22 am,1740870141.983,M,,PHI,ph,GO FOR GOLD,M20-24,1740898941.983,02:45,02:40,21.85,01:43,01:39,35.16,35.16 km/hr,36.38 km/hr,00:33:18.035,00:15:33.983,00:52:19.471,00:52:21.44,,933.983,1998.035,3139.471,3141.44,AG,1.0,1.0,1.0,,,,6,11,4656.188,1.0,False
5,00:54:53.678,T2,Run Start,RBFNZT42,1035,James Van Ramoga,7:04:57 am,1740870296.19,M,,PHI,ph,GO FOR GOLD,M20-24,1740899096.19,03:58,03:58,15.19,02:28,02:28,24.44,02:28 min/km,02:28 min/km,00:02:34.207,00:02:34.207,00:54:53.678,00:54:55.647,,154.207,154.207,3293.678,3295.647,AG,2.0,5.0,6.0,,,,7,11,4656.188,1.0,False
6,00:57:00.488,RUN1,Run 0.4 km,RBFNZT42,1035,James Van Ramoga,7:07:03 am,1740870423.00,M,,PHI,ph,GO FOR GOLD,M20-24,1740899223.00,07:34,07:34,7.94,04:42,04:42,12.77,04:42 min/km,04:42 min/km,00:02:06.81,00:02:06.81,00:57:00.488,00:57:02.457,,126.81,126.81,3420.488,3422.457,AG,,,,,,,8,11,4656.188,1.0,False
7,01:06:17.488,RUN2,Run 2.3 km,RBFNZT42,1035,James Van Ramoga,7:16:20 am,1740870980.00,M,,PHI,ph,GO FOR GOLD,M20-24,1740899780.00,07:45,07:43,7.74,04:49,04:48,12.46,04:49 min/km,04:48 min/km,00:11:23.81,00:09:17.00,01:06:17.488,01:06:19.457,,557.0,683.81,3977.488,3979.457,AG,,,,,,,9,11,4656.188,1.0,False
8,01:15:20.488,RUN3,Run 4.3 km,RBFNZT42,1035,James Van Ramoga,7:25:23 am,1740871523.00,M,,PHI,ph,GO FOR GOLD,M20-24,1740900323.00,07:34,07:39,7.94,04:42,04:45,12.77,04:42 min/km,04:45 min/km,00:20:26.81,00:09:03.00,01:15:20.488,01:15:22.457,,543.0,1226.81,4520.488,4522.457,AG,,,,,,,10,11,4656.188,1.0,False
9,01:17:36.188,FINISH,Finish,RBFNZT42,1035,James Van Ramoga,7:27:39 am,1740871658.70,M,,PHI,ph,GO FOR GOLD,M20-24,1740900458.70,06:19,07:30,9.50,03:56,04:40,15.29,03:56 min/km,04:40 min/km,00:22:42.51,00:02:15.70,01:17:36.188,01:17:38.157,1,135.7,1362.51,4656.188,4658.157,AG,1.0,3.0,3.0,1.0,1.0,1.0,11,11,4656.188,1.0,False
