,rank,bib,name,country,sex,division,divisionType,finDivPos,finSexPos,finOvrPos,isDNF,swimLegTime,swimNetTime,t1LegTime,t1NetTime,bikeLegTime,bikeNetTime,t2LegTime,t2NetTime,finishLegTime,finishNetTime
0,1.0,1035,James Van Ramoga,PHI,M,M20-24,AG,1.0,1.0,1.0,False,00:16:44.375,00:16:44.375,00:02:17.061,00:19:01.436,00:33:18.035,00:52:19.471,00:02:34.207,00:54:53.678,00:22:42.51,01:17:36.188
1,2.0,1031,John Paul Daquioag,PHI,M,M25-29,AG,1.0,2.0,2.0,False,00:16:26.621,00:16:26.621,00:02:12.334,00:18:38.955,00:36:37.149,00:55:16.104,00:02:23.336,00:57:39.44,00:20:06.193,01:17:45.633
2,3.0,1009,Mejares Naune Elison,PHI,M,M35-39,AG,1.0,3.0,3.0,False,00:15:19.871,00:15:19.871,00:02:02.338,00:17:22.209,00:38:53.718,00:56:15.927,00:02:41.071,00:58:56.998,00:22:09.873,01:21:06.871
3,4.0,1036,Benito Bascos,PHI,M,M20-24,AG,2.0,4.0,4.0,False,00:16:37.531,00:16:37.531,00:02:29.487,00:19:07.018,00:35:49.753,00:54:56.771,00:02:19.805,00:57:16.576,00:24:32.709,01:21:49.285
4,5.0,1010,Nicholas Ymer Campaner,PHI,M,M15-19,AG,1.0,5.0,5.0,False,00:16:37.684,00:16:37.684,00:02:26.725,00:19:04.409,00:39:01.531,00:58:05.94,00:02:16.805,01:00:22.745,00:25:14.451,01:25:37.196
5,6.0,1013,Nathan Carl Vidal,PHI,M,M35-39,AG,2.0,6.0,6.0,False,00:20:35.007,00:20:35.007,00:03:13.256,00:23:48.263,00:37:43.653,01:01:31.916,00:02:43.136,01:04:15.052,00:27:32.217,01:31:47.269
6,7.0,1030,Yuen Magdalena William Verbruggen,PHI,M,M20-24,AG,3.0,7.0,7.0,False,00:24:54.918,00:24:54.918,00:03:59.037,00:28:53.955,00:34:28.808,01:03:22.763,00:03:51.079,01:07:13.842,00:25:22.623,01:32:36.465
7,8.0,1017,Gilbert Bonbon,,M,M40-44,AG,1.0,8.0,8.0,False,00:17:22.867,00:17:22.867,00:03:10.123,00:20:32.99,00:41:36.922,01:02:09.912,00:03:35.536,01:05:45.448,00:27:07.423,01:32:52.871
8,9.0,1006,Leo David Leuterio,PHI,M,M30-34,AG,1.0,9.0,9.0,False,00:20:20.426,00:20:20.426,00:02:37.564,00:22:57.99,00:41:53.043,01:04:51.033,00:03:09.399,01:08:00.432,00:25:28.095,01:33:28.527
9,10.0,1032,JP Cabero,PHI,M,M45-49,AG,1.0,10.0,10.0,False,00:16:30.207,00:16:30.207,00:03:35.131,00:20:05.338,00:41:02.45,01:01:07.788,00:04:08.304,01:05:16.092,00:29:45.608,01:35:01.70
10,11.0,1003,Lemuel Ledesma,PHI,M,M25-29,AG,2.0,11.0,11.0,False,00:13:26.05,00:13:26.05,00:02:40.448,00:16:06.498,00:49:42.156,01:05:48.654,00:03:00.262,01:08:48.916,00:26:52.986,01:35:41.902
11,12.0,1001,Santiago Bumolyad Jr,PHI,M,M30-34,AG,2.0,12.0,12.0,False,00:21:45.379,00:21:45.379,00:03:57.768,00:25:43.147,00:43:07.262,01:08:50.409,00:02:26.433,01:11:16.842,00:26:11.534,01:37:28.376
12,13.0,1012,Sofia Adriana Calvo,PHI,F,F25-29,AG,1.0,1.0,13.0,False,00:20:48.605,00:20:48.605,00:03:22.533,00:24:11.138,00:44:12.438,01:08:23.576,00:02:46.582,01:11:10.158,00:28:06.60,01:39:16.758
13,14.0,1027,Celso JR Ducao,PHI,M,M30-34,AG,3.0,13.0,14.0,False,00:19:47.789,00:19:47.789,00:03:25.916,00:23:13.705,00:41:45.391,01:04:59.096,00:03:28.008,01:08:27.104,00:30:52.975,01:39:20.079
