,name,date,desc,earliestStartTime,logoImg,shortName,timeZone,units,url,shorturl,postponed,cancelled,finishers,allowSimulations,loc_desc,loc_coords,loc_country_iso
0,IRM-MALLORCA703-2016,2016-05-07,IRONMAN 70.3 Mallorca,1462600500,/_imgss/events/IRM-MALLORCA703-2016/1694332978_1283-495.jpg,IM 70.3 Mallorca,Europe/Madrid,metric,https://track.rtrt.me/e/IRM-MALLORCA703-2016,4313,0,,2648,,"Alcúdia, Spain","['39.85172', '3.12366']",ES
1,IRM-CDA703-2017,2017-06-25,IRONMAN 70.3 Coeur d'Alene Triathlon,1498395600,/_imgss/events/IRM-CDA703-2017/1498338307_coeurdalene-2996.jpg,IRONMAN CDA,America/Los_Angeles,standard,https://track.rtrt.me/e/IRM-CDA703-2017,cda17,,,1636,,Coeur D,"['47.67601', '-116.78928']",US
2,IRM-MUNCIE703-2017,2017-07-08,IRONMAN 70.3 Muncie Triathlon,1499511600,/_imgss/events/IRM-MUNCIE703-2017/1499262839_im-703-muncie-logo-230120-3821.png,IRONMAN 70.3 Muncie,America/Indiana/Indianapolis,standard,https://track.rtrt.me/e/IRM-MUNCIE703-2017,8794,,,,,"Muncie IN, United States","['40.26547', '-85.3681']",US
3,IRM-MUSKOKA703-2017,2017-07-09,IRONMAN 70.3 Muskoka Triathlon,1499598000,/_imgss/events/IRM-MUSKOKA703-2017/1499283636_im-703-muskoka-logo-230120-9400.png,IRONMAN 70.3 Muskoka,America/Toronto,metric,https://track.rtrt.me/e/IRM-MUSKOKA703-2017,881,,,1191,," ON, Canada","['45.32656', '-79.218']",CA
4,IRM-JONKOPING703-2017,2017-07-09,IRONMAN 70.3 Jonkoping Triathlon,1499586600,/_imgss/events/IRM-JONKOPING703-2017/1499474506_im-703-jonkoping-logo-230120-2161.png,IRONMAN 70.3 Jonkoping,Europe/London,metric,https://track.rtrt.me/e/IRM-JONKOPING703-2017,883,,,,,"Jönköping, Sweden","['57.78231', '14.17183']",SE
5,IRM-EUCHP-2017,2017-07-09,Mainova IRONMAN European Championship,1499574600,/_imgss/events/IRM-EUCHP-2017/1499370843_im-frankfurt-logo-230120-620.png,IM EU Championship,Europe/Berlin,metric,https://track.rtrt.me/e/IRM-EUCHP-2017,882,,,0,,"Markt Taschendorf, Germany","['49.68046', '10.52625']",DE
6,IRM-RACINE703-2017,2017-07-16,IRONMAN 70.3 Racine Triathlon,1500207600,/_imgss/events/IRM-RACINE703-2017/1499723519_2017-ironman-70-3-racine-logo-230120-1-6379.png,IRONMAN 70.3 Racine,America/Chicago,standard,https://track.rtrt.me/e/IRM-RACINE703-2017,886,,,1259,,"Racine WI, United States","['42.72519', '-87.79044']",US
7,IRM-LAKEPLACID-2017,2017-07-23,IRONMAN Lake Placid,1500805800,/_imgss/events/IRM-LAKEPLACID-2017/1500323088_ironman-lake-placid-230120-8264.png,IRONMAN Lake Placid,America/New_York,standard,https://track.rtrt.me/e/IRM-LAKEPLACID-2017,891,,,2199,,"Lake Placid NY, United States","['44.28209', '-73.98274']",US
8,IRM-CALGARY703-2017,2017-07-23,IRONMAN 70.3 Calgary,1500813900,/_imgss/events/IRM-CALGARY703-2017/1500049994_ironman-703-calgary-7790.jpg,IRONMAN 70.3 Calgary,America/Edmonton,metric,https://track.rtrt.me/e/IRM-CALGARY703-2017,887,,,721,,"Calgary, Canada","['51.04523', '-114.06315']",CA
9,IRM-FRANCE-2017,2017-07-23,IRONMAN France,1500783900,/_imgss/events/IRM-FRANCE-2017/1500378071_ironman-francenice-3208.png,IM France,Europe/Paris,metric,https://track.rtrt.me/e/IRM-FRANCE-2017,892,,,1647,,"Nice, France","['43.70154', '7.27824']",FR
